Fifty Shades of Grey ,4,3.9,34846,1
Jurassic World ,4.5,4.5,34390,2
American Sniper ,5,4.8,34085,3
Furious 7 ,5,4.8,33538,4
Inside Out ,4.5,4.5,15749,5
The Hobbit The Battle of the Five Armies ,4.5,4.3,15337,6
Kingsman The Secret Service ,4.5,4.2,15205,7
Minions ,4,4,14998,8
Avengers Age of Ultron ,5,4.5,14846,9
Into the Woods ,3.5,3.4,13055,10
Cinderella ,5,4.5,12640,11
AntMan ,5,4.5,12055,12
Mad Max Fury Road ,4.5,4.3,10509,13
San Andreas ,4.5,4.3,9749,14
Unbroken ,4.5,4.1,9443,15
Spy ,4.5,4.3,9418,16
Magic Mike XXL ,4.5,4.4,9363,17
Trainwreck ,4.5,4.1,8381,18
Mission Impossible  Rogue Nation ,4.5,4.4,8357,19
Straight Outta Compton ,5,4.8,8096,20
Tomorrowland ,4,3.7,8077,21
The Imitation Game ,5,4.6,8055,22
Home ,4.5,4.4,7705,23
The Divergent Series Insurgent ,4.5,4.2,7123,24
Selma ,5,4.6,7025,25
Annie ,4.5,4.2,6835,26
Taken 3 ,4.5,4.1,6757,27
The Wedding Ringer ,4.5,4.4,6506,28
Ted 2 ,4.5,4.1,6437,29
Fantastic Four ,3,2.7,6288,30
Terminator Genisys ,4.5,4.2,6272,31
Get Hard ,4,3.9,5933,32
Southpaw ,5,4.6,5597,33
Night at the Museum Secret of the Tomb ,4.5,4.1,5445,34
Focus ,4,3.9,4933,35
Pitch Perfect 2 ,4.5,4.2,4577,36
The SpongeBob Movie Sponge Out of Water ,3.5,3.3,4493,37
Entourage ,4.5,4.2,4279,38
Birdman ,4,3.7,4194,39
Jupiter Ascending ,3.5,3.4,4122,40
Paddington ,4.5,4.3,4045,41
Pixels ,4.5,4.1,3886,42
Vacation ,4,3.8,3815,43
Dragon Ball Z Resurrection F ,5,4.8,3740,44
Chappie ,4,3.8,3642,45
Ex Machina ,4.5,4.1,3458,46
Max ,4.5,4.5,3412,47
The Age of Adaline ,4.5,4.2,3325,49
Insidious Chapter 3 ,4.5,4.1,3276,50
Top Five ,4,3.5,3223,51
Paul Blart Mall Cop 2 ,3.5,3.5,3054,52
The Boy Next Door ,4,3.6,2800,53
Poltergeist ,3,2.8,2704,54
The Man From U.N.C.L.E. ,4.5,4.1,2686,55
The Gift ,4,3.7,2680,56
Hot Pursuit ,4,3.7,2618,57
The Longest Ride ,4.5,4.5,2603,58
Unfriended ,3,2.7,2507,59
Woman in Gold ,4.5,4.4,2435,60
Aloha ,3.5,3.1,2284,61
The DUFF ,4.5,4.2,2273,62
Dope ,4.5,4.3,2195,63
It Follows ,3,2.9,2097,64
Run All Night ,4.5,4.1,2066,65
Baahubali The Beginning ,5,4.6,1922,66
The Gallows ,3,2.9,1896,67
The Second Best Exotic Marigold Hotel ,4,3.9,1870,68
Black or White ,4.5,4.2,1862,69
Project Almanac ,4,3.7,1834,70
Do You Believe? ,5,4.5,1793,71
Paper Towns ,4,3.8,1750,72
The Lazarus Effect ,3,3,1651,73
Big Eyes ,4,3.8,1501,74
Ricki and the Flash ,4,3.7,1462,75
Blackhat ,3,2.8,1430,76
Self/less ,4,3.8,1415,77
Mr. Holmes ,4,4,1348,78
The Woman In Black 2 Angel of Death ,3,3,1333,79
Still Alice ,4.5,4.1,1258,80
Seventh Son ,3.5,3.2,1213,81
Mortdecai ,3.5,3.2,1196,82
Strange Magic ,3.5,3.4,1117,83
Inherent Vice ,3,2.9,1078,84
Bajrangi Bhaijaan ,5,4.6,1035,85
Hot Tub Time Machine 2 ,3.5,3,1021,86
The Gunman ,3.5,3.4,996,87
Sinister 2 ,3.5,3.3,973,88
Hitman Agent 47 ,4,3.9,917,89
Shaun the Sheep Movie ,4.5,4,896,90
Love  Mercy ,4.5,4,864,91
Unfinished Business ,3.5,3.2,821,92
The Loft ,4,3.6,811,93
Little Boy ,4.5,4.3,811,94
Far From The Madding Crowd ,4.5,4,804,95
Amy ,4.5,4.4,729,96
TCM presents Jaws 40th Anniversary ,5,4.8,716,97
Monkey Kingdom ,4.5,4.2,701,98
A Most Violent Year ,3.5,3.4,675,99
American Ultra ,4,3.7,638,100
Me and Earl and The Dying Girl ,4.5,4.3,624,101
True Story ,3.5,3.2,540,102
A La Mala ,5,4.6,536,103
Danny Collins ,4,4,531,104
Srimanthudu ,4.5,4.1,496,105
Cake ,3.5,3.4,482,106
Spare Parts ,4.5,4.5,450,107
While Were Young ,3,2.9,449,108
The Last Naruto the Movie ,5,4.8,409,109
Tanu Weds Manu Returns ,4.5,4.5,400,110
The Water Diviner ,4.5,4,397,111
The Breakfast Club 30th Anniversary ,5,4.9,381,112
DIl Dhadakne Do ,4,4,316,113
Child 44 ,4,3.7,308,114
Mr Turner ,3.5,3.2,290,115
Ill See You In My Dreams ,4,3.6,281,116
Star Wars Episode VII  The Force Awakens ,5,4.7,261,117
What We Do in the Shadows ,4.5,4.3,259,118
Irrational Man ,4,3.5,252,119
Wild Tales ,4.5,4.1,235,120
Where Hope Grows ,4.5,4.3,225,121
TCM presents Grease SingALong ,5,4.6,219,122
Black Sea ,4,3.5,218,123
NT Live The Audience ,5,4.7,215,124
The Vatican Tapes ,3,2.9,210,125
THE ,3.5,3.5,192,126
Beyond the Mask ,4.5,4.4,189,127
Faith Of Our Fathers ,4,3.9,186,128
Chocolate City ,4,3.8,176,129
Clouds of Sils Maria ,3.5,3.4,162,130
TCM presents Double Indemnity ,5,4.8,131,131
DCI 2015 Tour Premiere ,5,4.7,128,132
Testament of Youth ,4,3.9,127,133
Infinitely Polar Bear ,4,3.9,124,134
David and Goliath ,3.5,3.2,123,135
The End of the Tour ,4.5,4.1,121,136
Two Days One Night ,3.5,3.5,118,137
Drishyam ,4.5,4.4,117,138
Bolshoi Ballet Swan Lake ,4.5,4.1,112,139
The Overnight ,3.5,3.3,110,140
Detective Byomkesh Bakshy ,4,3.9,109,141
The Last Five Years ,4.5,4.4,99,142
Maggie ,3.5,3.3,95,143
RangiTaranga ,5,4.8,85,144
Ode to My Father ,5,4.6,83,145
The Salt of the Earth ,4.5,4.3,83,146
A Little Chaos ,4,3.9,83,147
Angrej ,5,4.8,80,148
5 Flights Up ,4,3.6,79,149
Dior and I ,4,4,75,150
Timbuktu ,4,3.6,74,151
Brothers Blood Against Blood ,4,4,74,152
Phoenix ,3.5,3.4,70,153
Above and Beyond ,4.5,4.4,70,154
Bolshoi Ballet The Nutcracker ,4.5,4.4,70,155
Bolshoi Ballet Romeo And Juliet ,4.5,4.2,68,156
A Girl Like Her ,4.5,4.2,66,157
Song of the Sea ,4.5,4.3,66,158
The Wolfpack ,3.5,3.4,66,159
Effie Gray ,3,2.8,65,160
Leviathan ,4,3.5,64,161
Cartel Land ,4.5,4.2,64,162
Sardaar Ji ,4.5,4.4,64,163
Classic Music Series Led Zeppelin ,4.5,4.5,64,164
The 100YearOld Man Who Climbed Out the Window and Disappeared ,4,3.9,63,165
Exhibition OnScreen The Impressionists ,4,4,62,166
The Hunger Games Mockingjay  Part 2 ,5,4.7,61,167
Kick 2 ,3,2.7,60,168
Royal Ballet Swan Lake ,5,4.5,59,169
Iris ,4,3.8,59,170
Gett The Trial of Viviane Amsalem ,3.5,3.5,59,171
ABCD 2 ,4,3.8,58,172
War Room ,4,3.8,58,173
Assassination ,5,4.6,57,174
Welcome to Me ,4,3.6,56,175
The Metropolitan Opera IolantaDuke Bluebeards Castle ,4,3.7,56,176
Dark Places ,4,3.7,55,177
Red Army ,4.5,4.1,54,178
Deli Man ,4,3.8,54,179
The Stanford Prison Experiment ,4,3.9,51,180
Exhibition OnScreen Vincent Van Gogh ,4.5,4.1,50,181
Unity ,4.5,4.2,50,182
Spectre ,4.5,4.3,50,183
Bin Roye ,4.5,4.4,50,184
Serena ,3,3,50,185
Escobar Paradise Lost ,4,3.9,48,186
When Marnie Was There ,4.5,4.1,46,187
Felix and Meira ,3.5,3.2,46,188
Exhibition OnScreen Matisse ,4.5,4,45,189
Twinsters ,5,4.5,44,190
Meru ,4.5,4.5,44,191
Saint Laurent ,3.5,3.1,43,192
About Elly ,4,3.6,43,193
Masss ,4,3.7,43,194
The Hunting Ground ,4.5,4.1,42,195
Merchants of Doubt ,4,3.7,42,196
Hamari Adhuri Kahani ,4.5,4.1,41,197
Seymour An Introduction ,4.5,4.2,41,198
Premam ,5,4.5,40,200
NH 10 ,3.5,3.2,39,201
The Diary of a Teenage Girl ,4,3.6,38,202
The Wrecking Crew ,4.5,4.2,38,203
King Lear (Stratford Festival) ,4.5,4.2,36,204
Tangerine ,4,3.9,36,205
Maps to the Stars ,3.5,3.1,35,206
Do I Sound Gay? ,3,2.7,32,207
Triumph in the Skies ,4,3.8,32,208
In the Name of my Daughter ,4,3.5,31,209
The Metropolitan Opera La Donna del Lago Encore ,4.5,4,30,210
The Oscar Nominated Short Films 2015 Live Action ,3.5,3.4,30,211
Just the Way You Are  ,5,4.8,29,212
Man From Reno ,4,4,29,213
Slow West ,4,4,29,214
Exhibition OnScreen Girl with the Pearl Earring ,4.5,4.2,28,215
Daryl Hall  John Oates Recorded Live From Dublin ,4.5,4.3,28,216
PlantPure Nation ,5,4.9,28,217
Desert Dancer ,4,4,28,218
Boulevard ,4.5,4.1,27,219
Classic Music Series Aerosmith ,5,4.6,27,220
Samba ,4,3.8,26,221
Antony and Cleopatra,3.5,3,25,222
The Voices ,4,3.6,25,223
Big Game ,4,3.5,24,224
5 to 7 ,3.5,3.4,24,225
Lets Get Married ,4.5,4.4,24,226
The Algerian ,5,4.5,23,227
Good Kill ,4,3.6,23,228
The Metropolitan Opera Cavalleria Rusticana/Paliacci ,4.5,4.3,23,229
Mommy ,4,3.9,23,230
The Oscar Nominated Short Films 2015 Animated ,4.5,4.1,22,231
Jil ,3.5,3.2,22,232
Batkid Begins ,4.5,4.2,22,233
3 Hearts  ,3,2.8,22,234
Cop Car ,3.5,3.4,22,235
Survivor ,3.5,3.2,21,236
Gemma Bovery ,3,2.8,21,237
Shes Funny That Way ,4,3.8,21,238
Zombeavers ,4,3.8,21,239
Maari ,4.5,4.4,21,240
Ballet 422 ,3,3,21,241
No Escape ,4,4,21,242
Mistress America ,4,3.6,20,243
Best of Enemies ,3.5,3.3,20,244
Jimmys Hall ,3.5,3.4,20,245
Human Capital ,4,3.5,19,246
White God ,4,3.6,19,247
Boychoir ,5,4.7,19,248
Listen to Me Marlon ,3.5,3.3,19,249
An Honest Liar ,4,3.8,19,250
A LEGO Brickumentary ,4.5,4.4,19,251
The Connection ,4,3.7,18,252
Walt Before Mickey  ,5,4.7,18,253
Results ,3,3,18,254
Heaven Knows What ,4,3.5,17,255
Lambert  Stamp ,4,3.7,17,256
Go Away Mr. Tumor ,4.5,4.2,17,257
What We Did on Our Holiday ,4.5,4.3,17,258
Tangerines ,4,3.9,17,259
Last Knights ,5,4.7,16,260
Manglehorn ,2.5,2.3,16,261
Learning to Drive ,4.5,4.1,15,262
That Thing Called Tadhana ,4,3.6,15,263
Sunshine Superman ,4.5,4.2,15,264
The Farewell Party ,3.5,3.3,15,265
Paulette ,4.5,4.1,14,266
Once I Was a Beehive ,5,4.6,14,267
Vasuvum Saravananum Onna Padichavanga ,3.5,3.1,14,268
Monsters Dark Continent ,3.5,3.2,14,269
Snow Girl and the Dark Crystal 3D ,4,3.8,14,270
Grandma ,4,3.9,14,271
Cant Stand Losing You Surviving The Police ,4.5,4.4,14,272
The Green Inferno ,4.5,4.4,14,273
The Young and Prodigious T.S. Spivet ,4.5,4.1,13,274
Kill Me Three Times ,3.5,3.2,13,275
Runoff ,4.5,4.2,13,276
Matt Shepard Is a Friend of Mine ,5,4.9,13,277
Aloft ,3,3,13,278
Kahlil Gibrans The Prophet ,4,4,13,279
Lost and Love,5,4.6,12,280
The Tribe ,4,4,12,281
All Is Well ,3,2.6,11,282
Eden ,3.5,3.1,11,283
Spring ,4,3.6,11,284
A Pigeon Sat on a Branch Reflecting on Existence ,3.5,3.2,11,285
Deadpool,5,4.7,11,286
Queen and Country ,4,3.8,11,287
The Duke of Burgundy ,3.5,3.4,11,288
Girlhood ,4,3.5,10,289
Madame Bovary ,4,3.6,10,290
Cymbeline ,4,3.7,10,291
Like SundayLike Rain ,4,3.7,10,292
THE DEATH OF SUPERMAN LIVES WHAT HAPPENED ,5,4.7,10,293
The Riot Club ,3.5,3.3,10,294
The Salvation ,4,3.9,10,295
National Theatre Live Man and Superman ,5,5,10,296
How to Fight in Six Inch Heels ,4.5,4.1,9,297
Superfast! ,5,4.6,9,298
Tinker Bell and the Legend of the NeverBeast ,5,4.6,9,299
Gabriel ,4,3.6,9,300
The Search for General Tso ,3.5,3.3,9,301
Julie Taymors Midsummer Nights Dream ,4.5,4.4,9,302
Love Live! The School Idol Movie ,5,4.9,9,303
Maze Runner The Scorch Trials ,5,5,9,304
Dark Awakening ,4,3.5,8,305
12 Golden Ducks ,5,4.5,8,306
Kurt Cobain Montage of Heck ,5,4.6,8,307
Only You ,5,4.6,8,308
The Outrageous Sophie Tucker ,4,3.6,8,309
Eastern Boys ,3.5,3.3,8,310
Amira  Sam ,5,4.8,8,311
Barely Lethal ,5,4.8,8,312
Into The Grizzly Maze ,3.5,3.4,8,313
The Look of Silence ,3.5,3.4,8,314
I Am Big Bird The Caroll Spinney Story ,4,3.9,8,315
Humpback Whales ,4.5,4.4,8,316
Cheatin ,5,5,8,317
After Words ,4,3.6,7,318
Beloved Sisters ,3.5,3.3,7,319
Cut Bank ,3.5,3.3,7,320
Six Dance Lessons in Six Weeks ,3,3,7,321
The Pardon ,4,4,7,322
League of Legends LCS Summer Finals ,5,5,7,323
Vaalu ,2,1.5,6,324
The Little Death ,5,4.5,6,325
Live From New York! ,4.5,4.2,6,326
Backcountry ,4,3.8,6,327
Some Kind of Beautiful ,4,4,6,328
Hotel Transylvania 2 ,5,5,6,329
Soaked In Bleach ,5,5,6,330
I Believe in Unicorns ,5,4.6,5,331
Living in the Age of Airplanes ,4,3.6,5,332
We Are Your Friends ,4,3.6,5,333
The Falling ,3.5,3.2,5,334
The Peanuts Movie ,4.5,4.2,5,335
Ennum Eppozhum ,3,2.8,5,336
The Ark Of Mr. Chow ,3,2.8,5,337
Humpback Whales 3D ,4,3.8,5,338
Police Story Lockdown ,5,4.8,5,339
Fresh Dressed ,4.5,4.4,5,340
Two Step ,4.5,4.4,5,341
An Open Secret ,3,3,5,342
3 MinutesTen Bullets ,4,4,5,343
Bonobos Back To The Wild ,4,4,5,344
Magician The Astonishing Life and Work of Orson Welles ,4,4,5,345
Detective K Secret of the Lost Island ,3,2.5,4,346
Fort Tilden ,3,2.5,4,347
ESL One Cologne CounterStrike GO Finals Live ,4,3.5,4,348
People Places Things ,5,4.5,4,349
Ten Thousand Saints ,5,4.5,4,350
The Yes Men Are Revolting ,5,4.5,4,351
24 Days ,3.5,3.3,4,352
Black Mass ,3.5,3.3,4,353
Komban ,3.5,3.3,4,354
Cupcakes ,4,3.8,4,355
Misery Loves Comedy ,4,3.8,4,356
Rakshasudu ,4,3.8,4,357
Wonderful Nightmare ,4,3.8,4,358
Indru Netru Naalai ,4.5,4.3,4,359
I Am Chris Farley ,5,4.8,4,360
The Good Dinosaur ,5,4.8,4,361
The Mafia Only Kills in Summer ,3,3,4,362
Legends from the Sky ,4,4,4,363
SBK TheMovie ,4,4,4,364
National Theatre Live The Hard Problem ,5,5,4,365
The Boy ,5,5,4,366
The Perfect Guy ,5,5,4,367
Forbidden Films ,3,2.7,3,368
A Poem Is a Naked Person ,4,3.7,3,369
Buzzard ,4,3.7,3,370
Court ,4,3.7,3,371
A Walk in the Woods ,4.5,4.3,3,372
Drafthouse Films ROAR ,4.5,4.3,3,373
The Girl is in Trouble ,4.5,4.3,3,374
Winning The Racing Life Of Paul Newman ,4.5,4.3,3,375
Dont Think Ive Forgotten Cambodias Lost Rock and Roll ,4,4,3,376
Dukales Dream ,4,4,3,377
Maries Story ,4,4,3,378
Fall to Rise ,5,5,3,379
Turbo Kid ,5,4,2,380
Hunting Elephants ,3,2.5,2,381
Felt ,4,3.5,2,382
October Gale ,2,2,2,383
1001 Grams ,3,3,2,384
Charlies Country ,3,3,2,385
Jauja ,3,3,2,386
Love at First Fight ,3,3,2,387
The Lovers ,3,3,2,388
Welcome to New York ,3,3,2,389
Rebels of the Neon God ,4,4,2,390
The Visit ,4,4,2,391
We Come as Friends ,4,4,2,392
Appropriate Behavior ,5,5,2,393
Dogs on the Inside ,5,5,2,394
Shes Lost Control ,5,5,2,395
The Forecaster ,5,5,2,396
The Seven Five ,5,5,2,397
The Transporter Refueled ,5,5,2,398
Tiger ,5,5,2,399
Maya the Bee Movie ,1,1,1,400
Nannbenda ,1,1,1,401
Ned Rifle ,1,1,1,402
Closer to the Moon ,2,2,1,403
Treading Water ,2,2,1,404
Amour Fou ,3,3,1,405
Dark Star HR Gigers World ,3,3,1,406
Empire of Lust ,3,3,1,407
Hungry Hearts ,3,3,1,408
Nannbenda ,3,3,1,409
One Cut One Life ,3,3,1,410
The Face of an Angel ,3,3,1,411
The Living ,3,3,1,412
Wild Canaries ,3,3,1,413
Buggs Bunny ,4,4,1,414
Digging for Fire ,4,4,1,415
Every Last Child ,4,4,1,416
Journey to Space ,4,4,1,417
Kidnapping MrHeineken ,4,4,1,418
Reality ,4,4,1,419
Stung ,4,4,1,420
The Mend ,4,4,1,421
A Hard Day ,5,5,1,422
A Midsummer Nights Dream ,5,5,1,423
A Murder In The Park ,5,5,1,424
Bound to Vengeance ,5,5,1,425
Captive ,5,5,1,426
Far From Men ,5,5,1,427
LA Slasher ,5,5,1,428
Sexy et en cavale ,5,5,1,429
That Guy Dick Miller ,5,5,1,430
That Sugar Film ,5,5,1,431
The Intern ,5,5,1,432
The Park Bench ,5,5,1,433
The Wanted 18 ,5,5,1,434
Z For Zachariah ,5,5,1,435
6 Years ,0,0,0,436
7 Minutes ,0,0,0,437
A Year in Champagne ,0,0,0,438
Balls Out ,0,0,0,439
Before I Wake ,0,0,0,440
Big Significant Things ,0,0,0,441
Caprice ,0,0,0,442
Chagall Malevich ,0,0,0,444
Coffee Bloom ,0,0,0,445
Come Blow Your Horn ,0,0,0,446
Dans Motel ,0,0,0,447
Ego Trip ,0,0,0,448
El Cartel De La Papa ,0,0,0,449
Electric Slide ,0,0,0,451
Elephant Song ,0,0,0,452
Eli ,0,0,0,453
Espionne ,0,0,0,454
Farewell to Hollywood ,0,0,0,455
Glass Chin ,0,0,0,456
Guidance ,0,0,0,457
Gun  Goal ,0,0,0,458
How to Change the World ,0,0,0,459
Insanity ,0,0,0,460
Jilebi ,0,0,0,461
Journey to Space 3D ,0,0,0,462
La dame en or ,0,0,0,463
La face cache de Margo ,0,0,0,464
La leon ,0,0,0,465
La passion dAugustine ,0,0,0,466
Le gaucher ,0,0,0,467
Le monde de demain ,0,0,0,468
Le tireur ,0,0,0,469
Little Big Master ,0,0,0,470
Loin de la foule dchan ,0,0,0,471
Mateo ,0,0,0,472
Melody ,0,0,0,473
Memories of the Sword ,0,0,0,474
Monde Jurassique ,0,0,0,475
Munde Kamaal De ,0,0,0,476
New Movie ,0,0,0,477
Of Horses and Men ,0,0,0,478
One  Two ,0,0,0,479
One and Two ,0,0,0,480
Our Man in Tehran ,0,0,0,481
Prison 101 ,0,0,0,482
Queen of Earth  ,0,0,0,483
Selam Bahara Yolculuk ,0,0,0,484
Set Fire to the Stars ,0,0,0,485
Shake the Dust ,0,0,0,486
Sleeping With Other People ,0,0,0,487
The Curse of Downers Grove ,0,0,0,488
The Merchant of Venice Presented by RSC ,0,0,0,489
The Mirage ,0,0,0,490
The New Girlfriend ,0,0,0,491
The Next Step Live The Movie ,0,0,0,492
The Passion of Augustine ,0,0,0,493
The Second Mother ,0,0,0,494
Traque ,0,0,0,495
Two 4 One ,0,0,0,496
Valiyavan ,0,0,0,497
WWE SummerSlam 2015 ,0,0,0,498
Yagavarayinum Naa Kaakka ,0,0,0,499
Zarafa ,0,0,0,500
